pathway,NES,padj,size
Autophagosome Maturation (GO:0097352),1.4423542072289692,0.11644566059112549,44
Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090199),1.4421637525489115,0.146125927567482,41
Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042985),1.44187911238543,0.2193601280450821,5
Phosphate Ion Transport (GO:0006817),1.4416309615574485,0.24368423223495483,19
"Wound Healing, Spreading Of Cells (GO:0044319)",1.4404248355027602,0.19329887628555298,25
'De Novo' Post-Translational Protein Folding (GO:0051084),1.4401902397220958,0.2193601280450821,32
Positive Regulation Of Interleukin-6 Production (GO:0032755),1.4396120685593463,0.14321784675121307,76
Negative Regulation Of Innate Immune Response (GO:0045824),1.4395596987842565,0.19329887628555298,52
Granulocyte Chemotaxis (GO:0071621),1.4389523637906079,0.03315972164273262,73
Mitochondrial Membrane Organization (GO:0007006),1.4387968634864794,0.21095149219036102,32
Heme Biosynthetic Process (GO:0006783),1.4385149168017957,0.212947815656662,19
Receptor Clustering (GO:0043113),1.4376142801780043,0.21885742247104645,19
Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001959),1.4375362343823972,0.1878265142440796,40
Negative Regulation Of Glycoprotein Biosynthetic Process (GO:0010561),1.4370469113545261,0.2503909468650818,8
Regulation Of Peptidase Activity (GO:0052547),1.4362073992324902,0.22513049840927124,27
Amine Transport (GO:0015837),1.4360542577616273,0.2621568739414215,7
Protein Maturation (GO:0051604),1.4359897849008751,0.0,117
Positive Regulation Of Activated T Cell Proliferation (GO:0042104),1.4357528302174596,0.23963794112205505,19
Formation Of Cytoplasmic Translation Initiation Complex (GO:0001732),1.4354291997395066,0.2734111249446869,14
Regulation Of Type 2 Immune Response (GO:0002828),1.4350391358847956,0.2611103653907776,5
Cap-Dependent Translational Initiation (GO:0002191),1.43494353840698,0.2390851527452469,5
HALLMARK_PROTEIN_SECRETION,1.434550600060579,0.059027720242738724,96
Positive Regulation Of Keratinocyte Proliferation (GO:0010838),1.4340306670289307,0.27224376797676086,11
Cellular Response To Heat (GO:0034605),1.4339948863105751,0.2010677456855774,40
Killing By Host Of Symbiont Cells (GO:0051873),1.4337784169768122,0.2491358518600464,13
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:0042771),1.4337590483048346,0.2390851527452469,19
Negative Regulation Of Myotube Differentiation (GO:0010832),1.4337319590271815,0.2910444438457489,11
Negative Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900226),1.4333495354715675,0.2682783305644989,13
Regulation Of Type I Interferon Production (GO:0032479),1.4331227064828143,0.14321784675121307,59
Regulation Of cGMP-mediated Signaling (GO:0010752),1.4327659612812562,0.2582375407218933,5
