pathway,NES,padj,size
Positive Regulation Of Protein Maturation (GO:1903319),1.2355030010417247,0.6198444962501526,11
Cardiac Epithelial To Mesenchymal Transition (GO:0060317),1.2349126914289914,0.5833878517150879,19
Regulation Of Guanylate Cyclase Activity (GO:0031282),1.234764865105249,0.6717904210090637,5
Negative Regulation Of Cell Cycle (GO:0045786),1.234434148631452,0.44757819175720215,85
Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045),1.2326413935077154,0.6043422222137451,13
Sulfur Amino Acid Metabolic Process (GO:0000096),1.232398507869415,0.5866777300834656,17
SA Node Cell Action Potential (GO:0086015),1.231449488238886,0.6320262551307678,6
Establishment Of Protein Localization To Plasma Membrane (GO:0061951),1.2296532991978504,0.5617344975471497,38
Atrioventricular Valve Development (GO:0003171),1.229642390047051,0.641606867313385,13
Positive Regulation Of Synaptic Plasticity (GO:0031915),1.2283547232358114,0.6663457751274109,6
Amino-Acid Betaine Metabolic Process (GO:0006577),1.228148656089655,0.6545981764793396,6
Negative Regulation Of Developmental Growth (GO:0048640),1.2280327025147662,0.5617344975471497,31
Homologous Chromosome Pairing At Meiosis (GO:0007129),1.2276798009188432,0.5424514412879944,30
Atrial Septum Development (GO:0003283),1.2265827231187,0.6189515590667725,13
Adenylate Cyclase-Inhibiting Serotonin Receptor Signaling Pathway (GO:0007198),1.221911947564626,0.6806970834732056,6
Regulation Of Cardiac Muscle Hypertrophy (GO:0010611),1.2218227154470667,0.5798766016960144,23
Cellular Response To BMP Stimulus (GO:0071773),1.2217404875683877,0.5409451127052307,66
Regulation Of NK T Cell Activation (GO:0051133),1.2216234352955446,0.6898844242095947,5
Methionine Metabolic Process (GO:0006555),1.219314609742003,0.6649557948112488,7
Regulation Of Potassium Ion Transmembrane Transporter Activity (GO:1901016),1.2191074999621745,0.5861142873764038,26
Protein Heterotetramerization (GO:0051290),1.2181355950055124,0.6284684538841248,12
Fat-Soluble Vitamin Catabolic Process (GO:0042363),1.2130569761622352,0.6444530487060547,8
Cilium Organization (GO:0044782),1.2113768778508804,0.0,228
Peripheral Nervous System Axon Ensheathment (GO:0032292),1.2086562748086087,0.6568676829338074,8
Schwann Cell Development (GO:0014044),1.2086562748086087,0.6568676829338074,8
Positive Regulation Of RNA Binding (GO:1905216),1.2079605026317077,0.682529628276825,6
Regulation Of Excitatory Synapse Assembly (GO:1904889),1.2066563975775455,0.6746582388877869,5
Negative Regulation Of Cold-Induced Thermogenesis (GO:0120163),1.2059323508120505,0.4942812919616699,46
Cellular Response To Gonadotropin Stimulus (GO:0071371),1.2046333181026712,0.6774000525474548,6
Digestive Tract Development (GO:0048565),1.203064290427739,0.5833878517150879,39
Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289),1.2011293829059086,0.6128007769584656,20
Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034114),1.2011285280093118,0.588314950466156,24
Regulation Of Cell-Cell Adhesion Mediated By Cadherin (GO:2000047),1.1998842563582715,0.6014252305030823,18
Activation Of GTPase Activity (GO:0090630),1.1979246789563058,0.4482634961605072,102
Cell-Cell Junction Organization (GO:0045216),1.1965488471201278,0.5591772794723511,68
Canonical Wnt Signaling Pathway (GO:0060070),1.1963936886813322,0.4720211923122406,65
TORC2 Signaling (GO:0038203),1.193644519973682,0.702702522277832,5
Neuromuscular Junction Development (GO:0007528),1.1929701938733646,0.588314950466156,24
Negative Regulation Of Sodium Ion Transmembrane Transport (GO:1902306),1.1929504357274556,0.65782231092453,9
Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),1.191579261004125,0.5781972408294678,35
Positive Regulation Of Epithelial Tube Formation (GO:1905278),1.190831289929106,0.6725678443908691,7
Regulation Of Cell Adhesion Molecule Production (GO:0060353),1.1898082554126594,0.693192183971405,6
Response To Leptin (GO:0044321),1.1883849961618804,0.6568676829338074,8
Muscle Organ Development (GO:0007517),1.1867106424826137,0.5156930685043335,58
Vasculature Development (GO:0001944),1.1866353074171665,0.6329659819602966,16
Cilium Disassembly (GO:0061523),1.185081051005104,0.715957760810852,5
Cellular Response To Fluid Shear Stress (GO:0071498),1.184242922220621,0.6649873852729797,11
Cellular Response To Peptide Hormone Stimulus (GO:0071375),1.1837495290387237,0.46315234899520874,89
Oligodendrocyte Differentiation (GO:0048709),1.182477649294738,0.6220275163650513,19
Negative Regulation Of Actin Filament Depolymerization (GO:0030835),1.1821324274626888,0.7138052582740784,5
